file_path,transcript
./data/voice/dev_ami_es2011a_h00_fee041_0054658_0055099,UM AND WE WILL HOPE TO SELL THIS INTERNATIONALLY
./data/voice/dev_ami_es2011a_h00_fee041_0055549_0055888,UM SELLING PRICE IS TWENTY FIVE EURO
./data/voice/dev_ami_es2011a_h00_fee041_0055888_0056314,PROFIT AIM FIFTY MILLION EURO
./data/voice/dev_ami_es2011a_h00_fee041_0057173_0057426,ANYONE A MATHEMATICIAN
./data/voice/dev_ami_es2011a_h00_fee041_0061441_0061815,SO F THAT'S A FIFTY PERCENT UM UH
./data/voice/dev_ami_es2011a_h00_fee041_0061955_0062591,UM I DON'T KNOW WHAT THESE MEAN BECAUSE I DIDN'T ACTUALLY MAKE THE SLIDE SHOW
./data/voice/dev_ami_es2011a_h00_fee041_0062591_0062835,EXPERIENCE WITH REMOTE CONTROL
./data/voice/dev_ami_es2011a_h00_fee041_0062835_0064005,SO I GUESS WE HAVE TO REFLECT ON OUR EXPERIENCES WITH REMOTE CONTROLS TO DECIDE WHAT UM WE WOULD LIKE TO SEE IN A CONVENIENT PRACTICAL
./data/voice/dev_ami_es2011a_h00_fee041_0064140_0064351,NICE REMOTE CONTROL
./data/voice/dev_ami_es2011a_h00_fee041_0064351_0065495,UM SO DO WE HAVE ANY INITIAL IDEAS FOR UH HOW THIS REMOTE CONTROL SHOULD BE DESIGNED OR FORMATTED OR THE THE BUTTONS IT SHOULD HAVE
./data/voice/dev_ami_es2011a_h00_fee041_0065966_0066000,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0066826_0066945,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0066945_0067222,I MEAN YOU HAVE IT FOR THE PORTABLE PHONE SO WHY NOT YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0071288_0071492,WHAT IF IT HAD SOMETHING LIKE UM
./data/voice/dev_ami_es2011a_h00_fee041_0071623_0072517,JUST LIKE A MAGNET ON THE BACK OF IT AND YOU COULD I MEAN J JUST TO HAVE SOME PLACE TO PUT IT BESIDES LIKE A BASE
./data/voice/dev_ami_es2011a_h00_fee041_0072517_0073256,YOU KNOW LIKE A PORTABLE PHONE HAS A BASE LIKE JUST TO HAVE A HOME FOR IT
./data/voice/dev_ami_es2011a_h00_fee041_0073256_0073867,'CAUSE PEOPLE JUST STICK IT ON TOP OF THEIR T. V. BUT THE POINT OF HAVING A REMOTE IS NOT TO HAVE TO WALK OVER TO THE T. V. SO
./data/voice/dev_ami_es2011a_h00_fee041_0073965_0074031,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0074576_0074605,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0074722_0075238,MAYBE WE SHOULD DESIGN COUCHES THAT HAVE THE REMOTE CONTROL IN THE SIDE ARM
./data/voice/dev_ami_es2011a_h00_fee041_0076406_0076440,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0076676_0077188,DO YOU THINK IT NEEDS TO BE BIGGER TO NOT LOSE OR DOES THAT NOT FACTOR IN
./data/voice/dev_ami_es2011a_h00_fee041_0077244_0077274,LIKE
./data/voice/dev_ami_es2011a_h00_fee041_0077393_0077582,HAND HAND HELD SIZE YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0077762_0077937,NOT NOT HUGE BUT
./data/voice/dev_ami_es2011a_h00_fee041_0078622_0078672,HUH
./data/voice/dev_ami_es2011a_h00_fee041_0080095_0080407,LITTLE HOMING DEVICE
./data/voice/dev_ami_es2011a_h00_fee041_0080407_0080463,UM
./data/voice/dev_ami_es2011a_h00_fee041_0080590_0080707,OKAY
./data/voice/dev_ami_es2011a_h00_fee041_0080707_0081043,SO WHAT DO WE THINK THIS REMOTE CONTROL SHOULD
./data/voice/dev_ami_es2011a_h00_fee041_0081197_0081293,FIVE MINUTES
./data/voice/dev_ami_es2011a_h00_fee041_0081408_0081591,TILL THE MEETING OH RIGHT
./data/voice/dev_ami_es2011a_h00_fee041_0081591_0081687,THIS IS WHAT WE HAVE LEFT
./data/voice/dev_ami_es2011a_h00_fee041_0081902_0082176,UM OH WE JUST
./data/voice/dev_ami_es2011a_h00_fee041_0082385_0082415,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0083209_0083839,YOU WHAT IF UM MAY BE A LITTLE FANCY BUT WHAT IF IT HAD LIKE A LITTLE SCREEN
./data/voice/dev_ami_es2011a_h00_fee041_0083839_0084232,SO IT HAS LESS BUTTONS BUT IT STILL HAS ALL THE FUNCTIONS
./data/voice/dev_ami_es2011a_h00_fee041_0084232_0084397,LIKE THE WAY A MOBILE PHONE DOES
./data/voice/dev_ami_es2011a_h00_fee041_0084674_0085232,SO YOU COULD LIKE UM LIKE IF YOU HAVE I DUNNO IF YOU HAVE SATELLITE IF YOU HAVE A HUNDRED CHANNELS
./data/voice/dev_ami_es2011a_h00_fee041_0085232_0085825,YOU CAN THE WAY YOU DO IT ON YOUR RADIO IS THAT YOU UH WHAT DO YOU CALL IT S Y YEAH BUT YOU CAN PROGRAMME
./data/voice/dev_ami_es2011a_h00_fee041_0085825_0086308,SO YOU CAN PROGRAMME LIKE YOUR FAVOURITE CHANNELS SO LIKE IF YOU HAD A S
./data/voice/dev_ami_es2011a_h00_fee041_0086712_0086912,THAT'S SOMETHING WE COULD DECIDE
./data/voice/dev_ami_es2011a_h00_fee041_0086912_0086974,MM
./data/voice/dev_ami_es2011a_h00_fee041_0087782_0087822,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0088560_0088586,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0088978_0089124,RIGHT
./data/voice/dev_ami_es2011a_h00_fee041_0089783_0089882,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0089882_0089917,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0092814_0092829,MM
./data/voice/dev_ami_es2011a_h00_fee041_0093078_0093196,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0093196_0093855,I MEAN WE HAVE TO REMEMBER OUR BUDGET IS TWELVE POINT TWELVE FIFTY FOR TO ACTUALLY MAKE THE DEVICE
./data/voice/dev_ami_es2011a_h00_fee041_0094066_0094298,UM BUT IT'S SOMETHING TO THINK ABOUT YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0094298_0094547,I MEAN WE'LL HAVE TO SEE HOW MUCH THAT WOULD BE
./data/voice/dev_ami_es2011a_h00_fee041_0094860_0094907,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0096220_0096744,OH I WAS JUST
./data/voice/dev_ami_es2011a_h00_fee041_0096874_0096904,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0098074_0098868,MAYBE UM JUST LIKE A SIMPLE THING TO HAVE A CLIP ON IT LIKE SO YOU CAN CLIP IT TO YOUR LIKE THAT'S ANOTHER
./data/voice/dev_ami_es2011a_h00_fee041_0099766_0099935,UM
./data/voice/dev_ami_es2011a_h00_fee041_0099935_0100545,WE SHOULD PROBABLY START WRAPPING UP UM WE'VE GOT SOME INITIAL IDEAS THAT WE CAN ALL LOOK INTO
./data/voice/dev_ami_es2011a_h00_fee041_0100545_0101252,UM AND COME UP WITH SOME NEW ONES FOR THE NEXT MEETING WHICH WILL BE IN ANOTHER THIRTY MINUTES
./data/voice/dev_ami_es2011a_h00_fee041_0101252_0101321,UM
./data/voice/dev_ami_es2011a_h00_fee041_0101497_0101554,SO
./data/voice/dev_ami_es2011a_h00_fee041_0101738_0101825,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0101825_0101875,THE
./data/voice/dev_ami_es2011a_h00_fee041_0102030_0102676,INDUSTRIAL DESIGNER WHAT DOES THAT STAND FOR I. D. YEAH UM IS GOING TO BE LOOKING MORE INTO THE WORKING DESIGN
./data/voice/dev_ami_es2011a_h00_fee041_0102676_0103532,SO I GUESS YOU'D BE LOOKING AT LOTS OF THE THINGS WE DISCUSSED ABOUT SCREEN AND UM THAT SORT OF THING
./data/voice/dev_ami_es2011a_h00_fee041_0103532_0103590,THE
./data/voice/dev_ami_es2011a_h00_fee041_0103744_0103999,SOMETHING WHAT IS THE U. I.
./data/voice/dev_ami_es2011a_h00_fee041_0103999_0104222,YEAH WHAT DOES IT STAND FOR AGAIN
./data/voice/dev_ami_es2011a_h00_fee041_0104222_0104416,USER INTERFACE DESIGNER
./data/voice/dev_ami_es2011a_h00_fee041_0104416_0104561,SO THAT'S GONNA BE
./data/voice/dev_ami_es2011a_h00_fee041_0104780_0104884,MORE TECHNICAL
./data/voice/dev_ami_es2011a_h00_fee041_0104884_0105767,I GUESS THAT MAYBE THE WORKING DESIGN HAS ALSO TO DO WITH LIKE THE PHYSICAL FEAT LIKE JUST THE WAY IT LOOKS AND THE WAY IT W
./data/voice/dev_ami_es2011a_h00_fee041_0105908_0105979,YEAH YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0106389_0106736,UM I GUESS YOU'D HAVE TO FIND OUT
./data/voice/dev_ami_es2011a_h00_fee041_0108359_0108390,MM
./data/voice/dev_ami_es2011a_h00_fee041_0108830_0109138,AND THE M. E. WHAT DOES THAT STAND FOR
./data/voice/dev_ami_es2011a_h00_fee041_0109138_0109160,M
./data/voice/dev_ami_es2011a_h00_fee041_0109274_0109399,MARKETING RIGHT
./data/voice/dev_ami_es2011a_h00_fee041_0109399_0109485,UM
./data/voice/dev_ami_es2011a_h00_fee041_0109693_0110046,SO WE'LL BE WORKING ON THE USER REQUIREMENTS UM
./data/voice/dev_ami_es2011a_h00_fee041_0110250_0110377,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0110377_0110688,SO I GUESS THAT WRAPS IT UP
./data/voice/dev_ami_es2011a_h00_fee041_0110688_0111070,I'LL SEE YOU ALL IN THIRTY MINUTES
./data/voice/dev_ami_es2011a_h00_fee041_0111305_0111377,I JUST DID
./data/voice/dev_ami_es2011a_h01_fee042_0009394_0009568,I'M KRISTA AND I'M THE INDUSTRIAL DESIGNER
./data/voice/dev_ami_es2011a_h01_fee042_0034666_0034935,SUPPOSE I CAN DRAW AN ANIMAL YEAH
./data/voice/dev_ami_es2011a_h01_fee042_0037793_0038022,YEAH
./data/voice/dev_ami_es2011a_h01_fee042_0038604_0038653,I DON'T KNOW
./data/voice/dev_ami_es2011a_h01_fee042_0038653_0038907,THEY SLEEP ALL DAY THEY'RE EASY TO DRAW
./data/voice/dev_ami_es2011a_h01_fee042_0039666_0039881,I THINK THE PEN IS RUNNING OUT OF
./data/voice/dev_ami_es2011a_h01_fee042_0057798_0057842,TWO MILLION
./data/voice/dev_ami_es2011a_h01_fee042_0058477_0058545,OH YEAH
./data/voice/dev_ami_es2011a_h01_fee042_0073697_0073966,WELL THAT'S WHY IT'S ALWAYS IN THE COUCH
./data/voice/dev_ami_es2011a_h01_fee042_0078567_0078676,NO IT REALLY WOULDN'T BE
./data/voice/dev_ami_es2011a_h01_fee042_0082220_0082376,YEAH I AGREE
./data/voice/dev_ami_es2011a_h01_fee042_0082376_0082626,B. BUTTON AND THE F. BUTTON THEY DON'T DO ANYTHING
./data/voice/dev_ami_es2011a_h01_fee042_0102185_0102262,YEAH I THINK SO
./data/voice/dev_ami_es2011a_h01_fee042_0103869_0103917,USER
./data/voice/dev_ami_es2011a_h01_fee042_0105653_0105891,THE WORKING DESIGN IS THE STRUCTURE
./data/voice/dev_ami_es2011a_h01_fee042_0106742_0106783,UM
./data/voice/dev_ami_es2011a_h01_fee042_0106868_0107018,IT WAS IN THE EMAIL
./data/voice/dev_ami_es2011a_h01_fee042_0107018_0107203,I WROTE DOWN WHAT MINE WERE
./data/voice/dev_ami_es2011a_h01_fee042_0109209_0109254,MARKETING
./data/voice/dev_ami_es2011a_h02_fee043_0008866_0009310,I'M STEPHANIE AND I AM THE USER INTERFACE DESIGNER
./data/voice/dev_ami_es2011a_h02_fee043_0016681_0016851,SO YOU WANT US TO DRAW IT AND THEN TALK ABOUT IT
./data/voice/dev_ami_es2011a_h02_fee043_0016851_0016981,OR JUST DRAW IT
./data/voice/dev_ami_es2011a_h02_fee043_0017316_0017391,OKAY
./data/voice/dev_ami_es2011a_h02_fee043_0017391_0017593,WHY DON'T WE DO BOTH
./data/voice/dev_ami_es2011a_h02_fee043_0017593_0017624,RIGHT
./data/voice/dev_ami_es2011a_h02_fee043_0018417_0018670,MM I GOTTA THINK ABOUT IT FOR A SECOND LIKE
./data/voice/dev_ami_es2011a_h02_fee043_0018670_0018772,UH
./data/voice/dev_ami_es2011a_h02_fee043_0019090_0019519,DOES IT HAVE TO BE FUNCTIONAL TRENDY AND USER FRIENDLY
./data/voice/dev_ami_es2011a_h02_fee043_0019653_0019703,UM
./data/voice/dev_ami_es2011a_h02_fee043_0020005_0020066,OKAY I'LL DRAW
./data/voice/dev_ami_es2011a_h02_fee043_0020066_0020120,I'LL DRAW ONE
./data/voice/dev_ami_es2011a_h02_fee043_0020350_0020525,MAKE SURE MY THINGS HERE
./data/voice/dev_ami_es2011a_h02_fee043_0022069_0022087,UH OH
./data/voice/dev_ami_es2011a_h02_fee043_0022948_0022996,RIGHT
./data/voice/dev_ami_es2011a_h02_fee043_0023931_0024349,OKAY MY FAVOURITE ANIMAL IS SEE
./data/voice/dev_ami_es2011a_h02_fee043_0026176_0026214,OOPS
./data/voice/dev_ami_es2011a_h02_fee043_0026660_0026879,YEAH IT'S
./data/voice/dev_ami_es2011a_h02_fee043_0026958_0027279,YEAH I GUESS IT HAS A FIN ON TOP TOO YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0027881_0028044,IT'S MY DOLPHIN
./data/voice/dev_ami_es2011a_h02_fee043_0028436_0028618,I LIKE ITS TAIL
./data/voice/dev_ami_es2011a_h02_fee043_0028618_0029060,UM NO I THINK DOLPHINS ARE REALLY UH I DUNNO
./data/voice/dev_ami_es2011a_h02_fee043_0029060_0030124,THEY'RE SMART AND THEY THEY'RE CUTE AND THEY LIKE SWIMMING AND THAT'S COOL LIKE THEY'RE GRACEFUL YEAH AND THEY'RE SO
./data/voice/dev_ami_es2011a_h02_fee043_0030316_0031031,YEAH THEY'RE SLEEK AND THEY LOOK INTELLIGENT AND I DON'T KNOW THEY'RE I GUESS IT'S THE WHOLE LIKE BINOCULAR VISION THING
./data/voice/dev_ami_es2011a_h02_fee043_0031139_0031442,YEAH HE HE DOESN'T LOOK THAT SMART
./data/voice/dev_ami_es2011a_h02_fee043_0031442_0033864,HE'S A I DUNNO UM THEY'RE I THINK IT'S COOL THE THE UM THE INTERACTION THAT OR THE TH THINGS THAT THE REASONS PEOPLE SEEM TO LIKE YOU KNOW YOU GET EX YOU KNOW PEOPLE ARE SITTING ON THE BEACH AND P THEY'RE LIKE OH LOOK THERE'S DOLPHINS AND IT'S KINDA LIKE BUT THEY'RE YOU KNOW THEY JUMP AROUND IN THE WATER AND THEY'RE HAPPY AND THEY'RE MAMMALS
./data/voice/dev_ami_es2011a_h02_fee043_0033864_0034088,BUT THEY SWIM
./data/voice/dev_ami_es2011a_h02_fee043_0040826_0041071,AND THE PEN'S DYING
./data/voice/dev_ami_es2011a_h02_fee043_0041439_0041517,HORSE
./data/voice/dev_ami_es2011a_h02_fee043_0050210_0050267,AND FURRY
./data/voice/dev_ami_es2011a_h02_fee043_0050536_0050883,TEXTILE TACTILE TACTILE REMOTE CONTROL
./data/voice/dev_ami_es2011a_h02_fee043_0051509_0052035,YOU'RE DRAGGING A YOU HAVE A TAIL
./data/voice/dev_ami_es2011a_h02_fee043_0055161_0055492,SORRY CAN YOU JUST SAY THAT WHAT'S THE WHAT ARE OUR PRICE GOALS AGAIN
./data/voice/dev_ami_es2011a_h02_fee043_0055760_0055820,OKAY
./data/voice/dev_ami_es2011a_h02_fee043_0065836_0065966,I WAS THINKING THAT TOO
./data/voice/dev_ami_es2011a_h02_fee043_0065966_0066616,I THINK WE SHOULD DESIGN SOMETHING THAT HAS LIKE A SO YOU CAN LIKE SOMEHOW LIKE YOU I MEAN YOU ALWAYS KNOW WHERE YOUR T. V. IS
./data/voice/dev_ami_es2011a_h02_fee043_0066616_0066810,SO JUST HAVE A CALL BUTTON I'VE ALWAYS WANTED THAT
./data/voice/dev_ami_es2011a_h02_fee043_0066810_0067212,SO LIKE YOU CAN PUSH A BUTTON ON YOUR T. V. YEAH YEAH YEAH YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0067212_0067609,SO YOU SHOULD HAVE A CALL BUTTON ON YOUR TELEVISION TO BE ABLE TO FIND YOUR REMOTE CONTROL
./data/voice/dev_ami_es2011a_h02_fee043_0068741_0068806,YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0068806_0068837,YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0069238_0069394,YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0069394_0070247,I DON'T YEAH I MEAN IT BUT LIKE I MEAN JUST I MEAN LIKE YOUR PHONE EVEN JUST HAS SO LIKE IT CAN VIBRATE
./data/voice/dev_ami_es2011a_h02_fee043_0070247_0070568,IT CAN LIGHT UP AND MAKE NOISE AND I DUNNO
./data/voice/dev_ami_es2011a_h02_fee043_0072486_0072585,YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0072585_0072815,YEAH OR IF IT HAD A YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0073180_0073264,YEAH I MEAN
./data/voice/dev_ami_es2011a_h02_fee043_0073784_0073837,YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0073979_0074247,YEAH IN IN THE COUCH
./data/voice/dev_ami_es2011a_h02_fee043_0074247_0074816,I DUNNO IT SEEMS LIKE THOUGH THAT THAT WOULD BE HARD 'CAUSE YOU NOT YOU'RE NOT GONNA BE LAZY ANYWAY AND
./data/voice/dev_ami_es2011a_h02_fee043_0074965_0075357,YEAH SO WE THE PROJECT IS NOW COUCHES AND REMOTE CONTROLS
./data/voice/dev_ami_es2011a_h02_fee043_0075847_0075894,YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0076374_0076414,YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0077101_0077157,BIGGER
./data/voice/dev_ami_es2011a_h02_fee043_0077443_0077547,HAND SIZED
./data/voice/dev_ami_es2011a_h02_fee043_0078167_0078496,IT CAN'T BE THAT HARD TO PUT SOME KIND OF A NOISE ON IT
./data/voice/dev_ami_es2011a_h02_fee043_0078602_0078906,OR LIKE OR LIKE A LIGHT THING
./data/voice/dev_ami_es2011a_h02_fee043_0078906_0079007,YOU KNOW
./data/voice/dev_ami_es2011a_h02_fee043_0079007_0079161,I DUNNO
./data/voice/dev_ami_es2011a_h02_fee043_0079161_0079303,YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0079303_0079865,OR MAKE IT MOBILE SO IT RUNS AROUND AND COMES COME FIND YOU YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0079865_0080276,THAT WOULD BE REALLY I'M SURE WE COULD DO THAT FOR TWENTY FIVE EUROS A POP
./data/voice/dev_ami_es2011a_h02_fee043_0080276_0080401,YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0080401_0080486,UH
./data/voice/dev_ami_es2011a_h02_fee043_0081879_0082186,I ALSO THINK THOUGH THAT IT SHOULDN'T HAVE TOO MANY BUTTONS
./data/voice/dev_ami_es2011a_h02_fee043_0082186_0082733,'CAUSE I HATE THAT WHEN THEY HAVE TOO MANY BUTTONS AND I MEAN I KNOW IT HAS TO HAVE ENOUGH FUNCTIONS BUT LIKE
./data/voice/dev_ami_es2011a_h02_fee043_0082733_0083224,I DON'T KNOW YOU JUST HAVE LIKE EIGHT THOUSAND BUTTONS AND YOU'RE LIKE NO YOU NEVER USE HALF OF THEM
./data/voice/dev_ami_es2011a_h02_fee043_0083224_0083235,SO
./data/voice/dev_ami_es2011a_h02_fee043_0084187_0084272,THAT WOULD BE COOL
./data/voice/dev_ami_es2011a_h02_fee043_0084408_0084557,YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0084557_0084784,I MEAN IT JUST SEEMS LIKE YEAH
./data/voice/dev_ami_es2011a_h02_fee043_0086888_0087071,I GUESS THEY WOULD GO TOGETHER SOMEHOW
./data/voice/dev_ami_es2011a_h02_fee043_0087071_0087113,I DUNNO
./data/voice/dev_ami_es2011a_h02_fee043_0089285_0089380,I'M THINKING KIND OF
